genre,top,left,font_pct
bossa nova cover,12834,1092,104
bossa nova jazz,13249,925,100
bossbeat,4367,781,103
bosstown sound,13552,578,100
boston electronic,2338,1126,100
boston folk,14601,607,102
boston hardcore,11259,236,100
boston hip hop,8502,980,102
boston indie,10907,435,102
boston metal,9303,167,101
boston punk,10020,277,101
boston rock,10662,398,103
bothy ballad,19755,1060,100
botswana hip hop,11828,1049,100
botswana pop,9792,1005,100
bounce,3945,1134,101
bouncy house,1403,925,101
bouyon,4161,1108,100
bouzouki,15510,770,100
bow pop,14043,378,103
boy band,3653,718,111
boy pop,8546,777,101
boy soprano,21999,255,100
bozlak,17095,724,101
brain waves,17855,161,102
braindance,3478,961,101
brasilia indie,9527,667,100
brass band,14638,758,101
brass band brasileiro,11243,895,100
brass band pop,11766,864,100
brass ensemble,20748,492,100
brass quintet,21157,542,100
brazilian bass,1245,1263,101
brazilian black metal,10966,92,100
brazilian blues,10246,689,100
brazilian boogie,10920,903,101
brazilian ccm,12783,517,103
brazilian classical,20427,537,101
brazilian classical piano,22326,689,100
brazilian contemporary classical,20865,599,100
brazilian death metal,10733,165,100
brazilian dnb,1109,1132,100
brazilian doom metal,11392,127,100
brazilian edm,1465,1221,104
brazilian emo,7915,370,101
brazilian experimental,11330,646,100
brazilian gospel,11243,508,108
brazilian grindcore,11124,147,100
brazilian groove metal,10208,312,101
brazilian hardcore,8996,285,101
brazilian heavy metal,5529,212,100
brazilian hip hop,11377,1066,108
brazilian house,1269,1178,101
brazilian indie,9431,856,101
brazilian indie rock,9725,433,100
brazilian jazz,17370,851,102
brazilian lo-fi rock,10367,277,100
brazilian metal,8705,244,101
brazilian metalcore,4822,257,100
brazilian modern jazz,16452,830,100
brazilian percussion,12899,1040,100
brazilian post-hardcore,6014,317,100
brazilian post-rock,12252,368,100
brazilian power metal,5953,214,100
brazilian progressive metal,6555,220,101
brazilian punk,9908,350,101
brazilian punk rock,7903,321,101
brazilian reggae,8740,1009,105
brazilian rock,7956,596,108
brazilian rockabilly,9972,542,100
brazilian ska,5566,756,100
brazilian soul,10283,891,101
brazilian stoner rock,9033,287,100
brazilian surf rock,7694,400,100
brazilian tech house,307,1407,100
brazilian techno,653,1289,100
brazilian thrash metal,10036,268,101
breakbeat,1688,957,102
breakcore,4237,783,100
breaks,2002,1064,100
brega,8928,845,102
brega funk,4518,1275,102
brega paraense,4805,986,102
brega romantico,7533,881,102
brega saudade,7520,843,101
breton folk,14550,551,100
brighton indie,8137,454,103
brill building pop,15759,521,103
brisbane hip hop,7360,1041,100
brisbane indie,7383,374,101
brisbane punk,8751,313,100
bristol electronic,2765,1011,100
bristol indie,11081,418,101
brit funk,4793,947,101
britcore,2265,1134,100
british alternative rock,6358,313,102
british black metal,9831,92,100
british blues,12154,586,103
british brass band,21242,400,100
british children's music,12314,1064,101
british choir,21391,142,100
british classical piano,21364,466,100
british comedy,18381,1117,100
british contemporary classical,21425,306,101
british country,10895,549,101
british dance band,20602,817,100
british death metal,10867,138,100
british electroacoustic,18072,344,100
british experimental,13158,503,100
british folk,16565,777,103
british grindcore,11246,95,100
british indie rock,6407,400,103
british industrial,9181,568,100
british invasion,12646,642,109
british jazz,16540,736,101
british math rock,10806,427,100
british modern classical,21914,229,101
british orchestra,19258,251,101
british post-rock,11404,275,100
british power metal,4688,194,101
british singer-songwriter,15009,596,104
british soul,6791,847,109
british soundtrack,16598,266,104
britpop,6827,374,107
britpop revival,4997,268,101
brno indie,12265,604,100
broadway,18218,521,105
brockton hip hop,11980,1023,100
broken beat,2859,1097,100
broken transmission,11894,484,100
bronx drill,7559,1161,103
bronx hip hop,6273,1162,102
brooklyn drill,8076,1130,107
brooklyn indie,8546,447,107
brostep,2864,802,109
bruneian indie,8087,410,100
bruneian pop,8338,700,101
brutal death metal,10379,152,102
brutal deathcore,7408,176,101
bubble trance,1184,971,102
bubblegrunge,9537,388,105
bubblegum bass,5501,843,101
bubblegum dance,1505,919,103
bubblegum pop,14352,659,104
buffalo hip hop,10008,955,102
buffalo ny indie,12179,501,100
buffalo ny metal,10539,227,101
bulgarian electronic,738,1328,100
bulgarian experimental,12536,398,100
bulgarian folk,18644,362,100
bulgarian hip hop,4442,1125,101
bulgarian indie,8112,609,100
bulgarian metal,7249,255,100
bulgarian pop,4633,899,102
bulgarian r&amp;b,5896,984,100
bulgarian rock,8601,642,100
bulgarian trap,3025,1221,101
burkinabe pop,11541,1032,100
burkinabe traditional,15058,1097,100
burmese pop,8739,739,101
burmese traditional,20047,845,100
burundian pop,7630,1040,100
burundian traditional,14215,1162,100
bury st edmunds indie,10818,348,100
bush ballad,15534,927,100
byzantine,21583,245,100
c-pop,12884,554,104
c-pop girl group,4530,692,100
c64,3025,765,100
c86,8124,406,101
cabaret,21099,849,100
cajun,14676,802,100
calgary indie,11784,481,100
cali rap,7215,1101,107
california hardcore,11355,272,101
calming instrumental,18364,471,102
calypso,17095,837,101
cambodian pop,8952,788,101
cambodian rock,14660,528,100
cambodian traditional,19550,795,100
cambridge choir,21828,181,100
cambridgeshire indie,11796,462,101
cameroonian hip hop,11365,1053,100
cameroonian pop,11078,1011,100
campursari,8136,680,100
canadian americana,14478,609,102
canadian black metal,10006,64,100
canadian blues,12737,724,100
canadian ccm,7124,408,102
canadian celtic,13503,528,101
canadian children's music,14107,1062,101
canadian choir,22072,161,100
canadian classical,21145,255,101
canadian classical piano,21946,576,100
canadian comedy,19229,1097,100
canadian contemporary classical,21182,304,100
canadian contemporary country,5918,510,103
canadian contemporary r&amp;b,9481,795,113
canadian country,11646,609,103
canadian death metal,6991,160,100
canadian drill,6425,1110,100
canadian electronic,2177,986,103
canadian electropop,4179,751,102
canadian experimental,14740,249,100
canadian folk,13812,663,102
canadian garage rock,10415,386,101
canadian hardcore,9181,199,100
canadian hip hop,8790,1026,115
canadian house,1343,1268,101
canadian indie,9999,477,104
canadian indie folk,14390,510,101
canadian indigenous hip hop,5556,1088,100
canadian indigenous music,10475,724,100
canadian latin,4305,990,103
